tag,prog,img,gpu_pct,blk_size,cpu_threads,ite,all_resptime,cpu_branch,cpu_brmiss,cpu_cachemiss,cpu_cachetot,cpu_clock,cpu_inst,cpu_llcmiss,cpu_llctot,cpu_totcyc,gpu_actcyc,gpu_branch,gpu_cta,gpu_divbr,gpu_hit,gpu_inst,gpu_miss,gpu_totcyc
gpu25,convolution,1,0.25,8,8,3,6.60,12153759345,1828198,18309269,28477753,34621.622222,133705198700,0,0,107002877398,411504393,24883200,388802,0,134478470,395020800,14716590,411510536
gpu25,convolution,1,0.25,16,2,1,10.57,12014272386,1443181,17511119,27833540,18173.925415,133122377737,0,0,57770991890,265541877,24888960,98192,0,57433476,394922880,55434138,265546710
gpu25,convolution,1,0.25,16,2,2,10.52,12032662364,1242884,17945941,26734580,18150.321635,133210815060,0,0,57784572228,266454000,24888960,98178,0,57051062,394922880,55790224,266460586
gpu25,convolution,1,0.25,16,2,3,11.41,12007293399,1315766,17680454,27058390,18177.060132,133182429057,0,0,57738482768,266506762,24888960,98188,0,57023076,394922880,55850888,266512108
gpu25,convolution,1,0.25,16,4,1,6.79,12036571442,1245036,18017283,26961078,18592.913710,133136729657,0,0,57476222600,265761358,24888960,98186,0,57309344,394922880,55553904,265767238
gpu25,convolution,1,0.25,16,4,2,6.57,12028642588,1309935,17647017,26854081,18561.594900,133239070864,0,0,57515203828,265965744,24888960,98234,0,57271652,394922880,55628366,265970472
gpu25,convolution,1,0.25,16,4,3,6.56,12042904584,1265263,18025118,27148536,18581.975795,133362808724,0,0,57579741520,265818081,24888960,98232,0,57344838,394922880,55572778,265823524
gpu25,convolution,1,0.25,16,8,1,6.53,12031736297,1892162,18425190,28540409,34667.760053,133253109555,0,0,107159631366,266260544,24888960,98200,0,57145528,394922880,55691946,266265212
gpu25,convolution,1,0.25,16,8,2,6.52,12029973613,1893492,18145923,27343926,34557.684776,133224320694,0,0,106782888452,266031366,24888960,98172,0,57175942,394922880,55682132,266036566
gpu25,convolution,1,0.25,16,8,3,6.51,12013963617,1790612,18108594,27830440,34541.184255,133153097031,0,0,106711612157,266304392,24888960,98224,0,57152104,394922880,55741080,266309290
gpu25,convolution,1,0.25,32,2,1,10.80,12018636668,1239686,17559327,27039757,18110.386042,133236310820,0,0,57484841093,263571583,24888960,24480,0,57902960,394845120,35242380,267226462
gpu25,convolution,1,0.25,32,2,2,10.51,12029165532,1323568,17611173,26086844,18151.140853,133165484878,0,0,57735191767,263540361,24888960,24480,0,57944618,394845120,35195346,267196760
gpu25,convolution,1,0.25,32,2,3,10.53,12025888050,1488440,17634059,26826608,18159.632038,133133576478,0,0,57668936462,263590214,24888960,24480,0,57956658,394845120,35189102,267246814
gpu25,convolution,1,0.25,32,4,1,6.60,12021863671,1347911,18265912,27801295,18742.586397,133074766989,0,0,57976792432,263567429,24888960,24480,0,57950698,394845120,35192726,267225020
gpu25,convolution,1,0.25,32,4,2,6.62,12046393939,1354017,17980927,27843584,18724.582669,133361119121,0,0,57936505590,263471194,24888960,24480,0,57910762,394845120,35230650,267127904
gpu25,convolution,1,0.25,32,4,3,6.60,12023081144,1320480,18219543,26880421,18671.890096,133088959317,0,0,57758187795,263543671,24888960,24480,0,57944752,394845120,35203360,267198742
gpu25,convolution,1,0.25,32,8,1,6.51,12022056042,1866717,18380223,27905135,34537.567376,133235087046,0,0,106706083465,263541171,24888960,24482,0,57985186,394845120,35165798,267196502
gpu25,convolution,1,0.25,32,8,2,6.60,12031252071,1836967,18526555,28183840,34518.518765,133167874692,0,0,106687359175,263564392,24888960,24480,0,57946528,394845120,35197196,267219368
gpu25,convolution,1,0.25,32,8,3,6.51,12028554907,1936392,18551086,28120720,34535.004864,133097259216,0,0,106750595231,263563226,24888960,24482,0,57965454,394845120,35186302,267220132
gpu50,convolution,1,0.5,8,2,1,8.39,8895696952,1282447,18275103,27990862,13390.557142,93456750152,0,0,42255672166,821791603,49766400,777594,0,269235716,790041600,29504382,821796602
gpu50,convolution,1,0.5,8,2,2,8.41,8962003056,1197659,18978956,27534004,13501.185114,93716184760,0,0,42538402409,821428915,49766400,777600,0,269119356,790041600,29393512,821433796
gpu50,convolution,1,0.5,8,2,3,9.28,8914148322,1385159,18474217,28018668,13658.182192,93576121005,0,0,43136040272,821633971,49766400,777598,0,269204342,790041600,29456354,821639124
gpu50,convolution,1,0.5,8,4,1,5.68,8948866829,993634,18689156,27999141,13547.976366,93800009662,0,0,42088582370,822258231,49766400,777598,0,268920520,790041600,29786594,822263308
gpu50,convolution,1,0.5,8,4,2,5.73,8951215185,1079043,18539740,27626208,13736.908002,93718433166,0,0,42708182513,822090723,49766400,777600,0,269087222,790041600,29675366,822095528
gpu50,convolution,1,0.5,8,4,3,5.71,8935410617,1235965,17994437,26858831,13554.609443,93545929869,0,0,42047790701,821550543,49766400,777604,0,269158424,790041600,29450350,821555842
gpu50,convolution,1,0.5,8,8,1,5.66,8943851822,1431939,19176434,28965665,24190.036592,93709080693,0,0,74946751990,821253233,49766400,777602,0,269321312,790041600,29279058,821258540
gpu50,convolution,1,0.5,8,8,2,5.65,8914902814,1572275,17984746,27413264,24223.881427,93595683478,0,0,74990613161,821538667,49766400,777602,0,269249316,790041600,29385374,821543796
gpu50,convolution,1,0.5,8,8,3,5.65,8922593309,1543126,18467714,28880453,24185.245382,93763211446,0,0,74915895404,820876033,49766400,777600,0,269474310,790041600,29076880,820881408
gpu50,convolution,1,0.5,16,2,1,8.21,8662122441,1114791,18561639,28007558,13036.960583,92635944837,0,0,41511392501,534667396,49766400,195072,0,113204428,789886080,112830836,534672532
gpu50,convolution,1,0.5,16,2,2,8.13,8672639036,1071260,18795113,27573619,13032.341009,92647652046,0,0,41427236046,535427838,49766400,195000,0,112819532,789886080,113131674,535433076
gpu50,convolution,1,0.5,16,2,3,8.10,8662897479,1098401,18088583,26541749,13000.654053,92557225693,0,0,41310770788,536525080,49766400,195056,0,112543440,789886080,113470690,536530458
gpu50,convolution,1,0.5,16,4,1,5.60,8626159867,1346175,19323499,29617410,13750.122127,92459991254,0,0,42424362221,534253866,49766400,195024,0,113252434,789886080,112727456,534258840
gpu50,convolution,1,0.5,16,4,2,5.61,8674557866,1306602,18726278,28613394,13756.218212,92665780367,0,0,42593777594,535055970,49766400,195042,0,113084846,789886080,112912180,535061140
gpu50,convolution,1,0.5,16,4,3,5.92,8658686503,1133557,19079701,28266280,13450.427680,92353500146,0,0,41700337291,535592388,49766400,194932,0,112694256,789886080,113179096,535598396
gpu50,convolution,1,0.5,16,8,1,6.37,8714307367,1581843,18219093,28380816,24022.668167,92883866502,0,0,74309512449,535264286,49766400,194990,0,112903212,789886080,113035022,535269628
gpu50,convolution,1,0.5,16,8,2,5.45,8652752332,1607514,18374012,28418454,23983.568454,92645692717,0,0,74228255763,535816564,49766400,195006,0,112640624,789886080,113319278,535822046
gpu50,convolution,1,0.5,16,8,3,5.55,8660055901,1547679,18553488,28943434,23958.748234,92671674665,0,0,74115793782,536255300,49766400,195086,0,112501920,789886080,113546868,536260764
gpu50,convolution,1,0.5,32,2,1,8.07,8667916262,1056575,18609956,28005973,12982.747717,92660629054,0,0,41319086885,524580181,49777920,48960,0,115565656,789923520,70824296,531885842
gpu50,convolution,1,0.5,32,2,2,8.12,8663802103,1181779,17776394,26532047,13037.219778,92662339480,0,0,41511251254,524602102,49777920,48960,0,115492720,789923520,70896988,531907824
gpu50,convolution,1,0.5,32,2,3,8.09,8668824668,1179770,18111063,26159007,13009.148526,92564230820,0,0,41341087107,524603708,49777920,48960,0,115501232,789923520,70889108,531905446
gpu50,convolution,1,0.5,32,4,1,5.62,8658823027,1326203,19787616,30522457,13838.930795,92541161139,0,0,42819884270,524570167,49777920,48960,0,115483352,789923520,70907208,531872942
gpu50,convolution,1,0.5,32,4,2,5.61,8629615236,1109889,19021978,28483160,13496.178200,92502655643,0,0,41851811509,524596319,49777920,48960,0,115466584,789923520,70923556,531899364
gpu50,convolution,1,0.5,32,4,3,5.56,8650981547,1270743,18201401,27941892,13526.813213,92508238234,0,0,41883968014,524584704,49777920,48960,0,115515924,789923520,70874448,531888534
gpu50,convolution,1,0.5,32,8,1,5.45,8649993307,1537490,18148671,27884582,23937.206483,92612219222,0,0,74100338087,524607814,49777920,48960,0,115458146,789923520,70932626,531912346
gpu50,convolution,1,0.5,32,8,2,5.46,8660013642,1665113,18154476,27237200,23941.196974,92600819533,0,0,74196677116,524548180,49777920,48960,0,115550184,789923520,70840576,531850122
gpu50,convolution,1,0.5,32,8,3,6.25,8635139669,1560333,18242001,28468349,23957.185645,92563339922,0,0,74184063290,524592931,49777920,48962,0,115550776,789923520,70847044,531897222
gpu75,convolution,1,0.75,8,2,1,5.94,5687499483,974850,18655394,28282929,8282.890208,53474919769,0,0,26215960793,1234818781,74649600,1166412,0,403720698,1185062400,44138762,1234824796
gpu75,convolution,1,0.75,8,2,2,6.04,5687742181,914723,18844090,28790491,8281.980700,53513894383,0,0,26281121750,1235551106,74649600,1166406,0,403415412,1185062400,44504352,1235557300
gpu75,convolution,1,0.75,8,2,3,5.95,5686150233,971557,18283582,26953778,8266.408818,53529851087,0,0,26284598216,1236127602,74649600,1166418,0,403343670,1185062400,44792728,1236134498
gpu75,convolution,1,0.75,8,4,1,4.72,5682855246,1040331,18920386,28161751,8395.503001,53494440489,0,0,26226503817,1235373220,74649600,1166406,0,403573402,1185062400,44428690,1235378614
gpu75,convolution,1,0.75,8,4,2,4.70,5714833820,912408,18847609,28183622,8385.712773,53634304722,0,0,26217474136,1235713938,74649600,1166410,0,403646898,1185062400,44521182,1235720754
gpu75,convolution,1,0.75,8,4,3,4.71,5720514394,911169,18994775,27624032,8385.205359,53680234224,0,0,26250471612,1234631248,74649600,1166406,0,403741834,1185062400,44053394,1234636576
gpu75,convolution,1,0.75,8,8,1,4.69,5690609868,1083057,18939275,28473826,13754.708223,53520236144,0,0,42657821753,1235505386,74649600,1166408,0,403663496,1185062400,44411384,1235510578
gpu75,convolution,1,0.75,8,8,2,4.70,5710074388,1132432,19073047,28925009,13729.580176,53646403265,0,0,42642867656,1236155172,74649600,1166406,0,403461522,1185062400,44776398,1236160682
gpu75,convolution,1,0.75,8,8,3,4.68,5637456334,1170280,18872475,28435699,13712.662483,53170591683,0,0,42400004124,1234208076,74649600,1166412,0,404036582,1185062400,43827050,1234213254
gpu75,convolution,1,0.75,16,2,1,5.62,5293285832,954622,18619743,27712524,7910.376243,52041250684,0,0,25165793692,801781598,74655360,293104,0,170671052,1184964480,168181078,801786410
gpu75,convolution,1,0.75,16,2,2,5.60,5291314034,928508,18294421,26949675,7904.513631,51958328443,0,0,25164771329,801920426,74655360,293136,0,170605330,1184964480,168285358,801926568
gpu75,convolution,1,0.75,16,2,3,5.63,5291037697,929031,18479506,27443049,7922.920898,51960726366,0,0,25139430714,801228010,74655360,293190,0,171088824,1184964480,167862378,801233084
gpu75,convolution,1,0.75,16,4,1,4.44,5269000825,971768,18925501,27075481,8218.836702,51872821092,0,0,25521352805,801336127,74655360,293066,0,170745374,1184964480,168062728,801340862
gpu75,convolution,1,0.75,16,4,2,4.33,5259944939,958625,18732249,27856870,8115.672216,51705488138,0,0,25287933178,801945032,74655360,293142,0,170666702,1184964480,168229660,801950582
