Instruction,Feature,UIS,Complex,1995-win95,1996-win95+slack3.0,1997-win95+slack3.0,1998-win98+slack3.0,1999-win98+slack3.0,2000-win98+rhat7.0,2001-winxp+rhat7.0,2002-winxp+rhat7.0,2003-winxp+rhat7.0,2004-winxp+ubu4.10,2005-winxp+ubu4.10,2006-winxp+ubu6.10,2007-vista+ubu7.10,2008-vista+ubu8.10,2009-win7+ubu9.10,2010-win7+ubu10.10,2011-win7+ubu10.10,2012-win7+ubu12.10,1995-win95,1996-win95+slack3.0,1997-win95+slack3.0,1998-win98+slack3.0,1999-win98+slack3.0,2000-win98+slack3.0,2001-winxp+slack3.0,2002-winxp+slack3.0,2003-winxp+slack3.0,2004-winxp+ubu4.10,2005-winxp+ubu4.10,2006-winxp+ubu4.10,2007-vista+ubu7.10,2008-vista+ubu8.10,2009-win7+ubu9.10,2010-win7+ubu9.10,2011-win7+ubu9.10,2012-win7+ubu12.10
rdtscp,AVX,0x0f 0x01 0xf9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
larl_Gd_Ew,80386+,0x0f 0x02 0x00,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
lsll_Gd_Ew,80386+,0x0f 0x03 0x00,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
syscall,Pentium+PentiumPro,0x0f 0x05,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
clts,Pentium+PentiumPro,0x0f 0x06,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sysret,Pentium+PentiumPro,0x0f 0x07,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
invd,80486+80387,0x0f 0x08,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
wbinvd,80486+80387,0x0f 0x09,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
ud2a,80386+,0x0f 0x0b,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
movups_Vps_Wps,SSE2,0x0f 0x10,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
movups_Wps_Vps,SSE2,0x0f 0x11,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
movlps_Vps_Mq,SSE,0x0f 0x12 0x00,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
movhlps_Vps_Udq,SSE,0x0f 0x12 0xc0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
movlps_Mq_Vps,SSE,0x0f 0x13,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
unpcklps_Vps_Wps,SSE,0x0f 0x14,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
unpckhps_Vps_Wps,SSE,0x0f 0x15,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
movhps_Vps_Mq,SSE,0x0f 0x16 0x00,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
movlhps_Vps_Udq,SSE,0x0f 0x16 0xc0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
movhps_Mq_Vps,SSE,0x0f 0x17,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
prefetchnta,SSE3,0x0f 0x18 0x00,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
prefetcht0,SSE3,0x0f 0x18 0x08,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
prefetcht1,SSE3,0x0f 0x18 0x10,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
prefetcht2,SSE3,0x0f 0x18 0x18,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
prefetch_hint,SSE3,0x0f 0x18 0x20,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
multibyte_nop,Pentium+PentiumPro,0x0f 0x19,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
